Datetime,IS20-MS-01 -  Irradiation - Horizontal Pyranometer(W/m2),IS20-MS-01 -  Irradiation - Tilted Pyranometer (W/m2)
2023-08-13 22:25:00,0,0
2023-08-13 22:30:00,0,0
2023-08-13 22:35:00,0,0
2023-08-13 22:40:00,0,0
2023-08-13 22:45:00,0,0
2023-08-13 22:50:00,0,0
2023-08-13 22:55:00,0,0
2023-08-13 23:00:00,0,0
2023-08-13 23:05:00,0,0
2023-08-13 23:10:00,0,0
2023-08-13 23:15:00,0,0
2023-08-13 23:20:00,0,0
2023-08-13 23:25:00,0,0
2023-08-13 23:30:00,0,0
2023-08-13 23:35:00,0,0
2023-08-13 23:40:00,0,0
2023-08-13 23:45:00,0,0
2023-08-13 23:50:00,0,0
2023-08-13 23:55:00,0,0
2023-08-14 00:00:00,0,0
2023-08-14 00:05:00,0,0
2023-08-14 00:10:00,0,0
2023-08-14 00:15:00,0,0
2023-08-14 00:20:00,0,0
2023-08-14 00:25:00,0,0
2023-08-14 00:30:00,0,0
2023-08-14 00:35:00,0,0
2023-08-14 00:40:00,0,0
2023-08-14 00:45:00,0,0
2023-08-14 00:50:00,0,0
2023-08-14 00:55:00,0,0
2023-08-14 01:00:00,0,0
2023-08-14 01:05:00,0,0
2023-08-14 01:10:00,0,0
2023-08-14 01:15:00,0,0
2023-08-14 01:20:00,0,0
2023-08-14 01:25:00,0,0
2023-08-14 01:30:00,0,0
2023-08-14 01:35:00,0,0
2023-08-14 01:40:00,0,0
2023-08-14 01:45:00,0,0
2023-08-14 01:50:00,0,0
2023-08-14 01:55:00,0,0
2023-08-14 02:00:00,0,0
2023-08-14 02:05:00,0,0
2023-08-14 02:10:00,0,0
2023-08-14 02:15:00,0,0
2023-08-14 02:20:00,0,0
2023-08-14 02:25:00,0,0
2023-08-14 02:30:00,0,0
2023-08-14 02:35:00,0,0
2023-08-14 02:40:00,0,0
2023-08-14 02:45:00,0,0
2023-08-14 02:50:00,0,0
2023-08-14 02:55:00,0,0
2023-08-14 03:00:00,0,0
2023-08-14 03:05:00,0,0
2023-08-14 03:10:00,0,0
2023-08-14 03:15:00,0,0
2023-08-14 03:20:00,0,0
2023-08-14 03:25:00,0,0
2023-08-14 03:30:00,0,0
2023-08-14 03:35:00,0,0
2023-08-14 03:40:00,0,0
2023-08-14 03:45:00,0,0
2023-08-14 03:50:00,0,0
2023-08-14 03:55:00,0,0
2023-08-14 04:00:00,0,0
2023-08-14 04:05:00,0,0
2023-08-14 04:10:00,0,0
2023-08-14 04:15:00,0,0
2023-08-14 04:20:00,0,0
2023-08-14 04:25:00,0,0
2023-08-14 04:30:00,0,0
2023-08-14 04:35:00,0,0
2023-08-14 04:40:00,0,0
2023-08-14 04:45:00,0,0
2023-08-14 04:50:00,0,0
2023-08-14 04:55:00,0,0
2023-08-14 05:00:00,0,0
2023-08-14 05:05:00,0,0
2023-08-14 05:10:00,0,0
2023-08-14 05:15:00,0,0
2023-08-14 05:20:00,0,0
2023-08-14 05:25:00,0,0
2023-08-14 05:30:00,0,0
2023-08-14 05:35:00,0,0
2023-08-14 05:40:00,0,0
2023-08-14 05:45:00,0,0
2023-08-14 05:50:00,0,0
2023-08-14 05:55:00,0,0
2023-08-14 06:00:00,0,0
2023-08-14 06:05:00,0,0
2023-08-14 06:10:00,0,0
2023-08-14 06:15:00,0.6,0.6
2023-08-14 06:20:00,2,2.2
2023-08-14 06:25:00,4.4,4.6
2023-08-14 06:30:00,10.6,10.4
2023-08-14 06:35:00,18.4,18.6
2023-08-14 06:40:00,27.8,32.2
2023-08-14 06:45:00,38.4,54.2
2023-08-14 06:50:00,46.6,66.6
2023-08-14 06:55:00,45.8,62.8
2023-08-14 07:00:00,42.8,54.2
2023-08-14 07:05:00,67.6,104.6
2023-08-14 07:10:00,122.8,219.4
2023-08-14 07:15:00,142.6,270.2
2023-08-14 07:20:00,162.2,318.6
2023-08-14 07:25:00,183.4,362
2023-08-14 07:30:00,202.4,406.2
2023-08-14 07:35:00,222.2,451.8
2023-08-14 07:40:00,269.2,525.4
2023-08-14 07:45:00,213.6,346.4
2023-08-14 07:50:00,159.6,238.2
2023-08-14 07:55:00,251.4,426.6
2023-08-14 08:00:00,293,574.2
2023-08-14 08:05:00,308.2,628.6
2023-08-14 08:10:00,243,447.2
2023-08-14 08:15:00,434,842.4
2023-08-14 08:20:00,467.2,942.2
2023-08-14 08:25:00,465.8,937.4
2023-08-14 08:30:00,453,913.8
2023-08-14 08:35:00,459.4,874
2023-08-14 08:40:00,508.4,952.8
2023-08-14 08:45:00,528.4,960.8
2023-08-14 08:50:00,545.8,904.4
2023-08-14 08:55:00,564.8,917.6
2023-08-14 09:00:00,581.4,894
2023-08-14 09:05:00,597.2,796.6
2023-08-14 09:10:00,613.8,953.6
2023-08-14 09:15:00,637.4,972.2
2023-08-14 09:20:00,649.4,977.2
2023-08-14 09:25:00,675,991.2
2023-08-14 09:30:00,704,1032
2023-08-14 09:35:00,483.4,672.4
2023-08-14 09:40:00,700.4,949.4
2023-08-14 09:45:00,793.4,1058.8
2023-08-14 09:50:00,846.8,1119.2
2023-08-14 09:55:00,763.8,1011.2
2023-08-14 10:00:00,724.4,929.6
2023-08-14 10:05:00,672,835.6
2023-08-14 10:10:00,902.2,1112
2023-08-14 10:15:00,877,1079.6
2023-08-14 10:20:00,777,948.2
2023-08-14 10:25:00,796.6,945.4
2023-08-14 10:30:00,930.8,1103.6
2023-08-14 10:35:00,850.4,986.4
2023-08-14 10:40:00,870,1009.4
2023-08-14 10:45:00,844.6,942.2
2023-08-14 10:50:00,988.6,1116.2
2023-08-14 10:55:00,708.6,775.8
2023-08-14 11:00:00,1063.4,1155.2
2023-08-14 11:05:00,466.6,457.2
2023-08-14 11:10:00,989,1047.8
2023-08-14 11:15:00,561.2,539.4
2023-08-14 11:20:00,590.4,610
2023-08-14 11:25:00,730,762.4
2023-08-14 11:30:00,750,791.4
2023-08-14 11:35:00,1221,1263.2
2023-08-14 11:40:00,677.8,677
2023-08-14 11:45:00,645.4,643.2
2023-08-14 11:50:00,1053.2,1039.2
2023-08-14 11:55:00,1111.8,1125.4
2023-08-14 12:00:00,753.4,785.6
2023-08-14 12:05:00,1249.6,1246.8
2023-08-14 12:10:00,612.4,596.8
2023-08-14 12:15:00,718.4,691.6
2023-08-14 12:20:00,688.8,679.4
2023-08-14 12:25:00,719.6,714.8
2023-08-14 12:30:00,804.8,826.4
2023-08-14 12:35:00,922.2,920.8
2023-08-14 12:40:00,1274.6,1269.2
2023-08-14 12:45:00,929,931.8
2023-08-14 12:50:00,338.6,338.2
2023-08-14 12:55:00,1307.4,1292.6
2023-08-14 13:00:00,1220.6,1224
2023-08-14 13:05:00,608.2,599.8
2023-08-14 13:10:00,1017.2,1012.2
2023-08-14 13:15:00,1187.4,1189.8
2023-08-14 13:20:00,1072.8,1077.2
2023-08-14 13:25:00,1281.2,1292.4
2023-08-14 13:30:00,648.4,650.4
2023-08-14 13:35:00,694.8,729.2
2023-08-14 13:40:00,1052,1074.2
2023-08-14 13:45:00,892,910.6
2023-08-14 13:50:00,939.8,956.4
2023-08-14 13:55:00,938.8,965
2023-08-14 14:00:00,1100.8,1109.2
2023-08-14 14:05:00,989.4,1043.6
2023-08-14 14:10:00,978.2,1025.6
2023-08-14 14:15:00,967.4,1025.6
2023-08-14 14:20:00,866.8,928.8
2023-08-14 14:25:00,893.6,963
2023-08-14 14:30:00,1073.4,1175.4
2023-08-14 14:35:00,1043.2,1154.6
2023-08-14 14:40:00,1011,1128.4
2023-08-14 14:45:00,877.6,990.6
2023-08-14 14:50:00,972.6,1117
2023-08-14 14:55:00,963,1111.6
2023-08-14 15:00:00,983,1149.4
2023-08-14 15:05:00,938.2,1111.4
2023-08-14 15:10:00,929.2,1118.4
2023-08-14 15:15:00,851,1046.6
2023-08-14 15:20:00,872.8,1082
2023-08-14 15:25:00,868,1087.8
2023-08-14 15:30:00,735.2,938.2
